,b'snapshot-date,sku,fnsku,asin,product-name,condition,sales-rank,product-group,total-quantity,sellable-quantity,unsellable-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,units-shipped-last-24-hrs,units-shipped-last-7-days,units-shipped-last-30-days,units-shipped-last-90-days,units-shipped-last-180-days,units-shipped-last-365-days,weeks-of-cover-t7,weeks-of-cover-t30,weeks-of-cover-t90,weeks-of-cover-t180,weeks-of-cover-t365,num-afn-new-sellers,num-afn-used-sellers,currency,your-price,sales-price,lowest-afn-new-price,lowest-afn-used-price,lowest-mfn-new-price,lowest-mfn-used-price,qty-to-be-charged-ltsf-12-mo,qty-in-long-term-storage-program,qty-with-removals-in-progress,projected-ltsf-12-mo,per-unit-volume,is-hazmat,in-bound-quantity,asin-limit,inbound-recommend-quantity,qty-to-be-charged-ltsf-6-mo,projected-ltsf-6-mo
186,2020-09-05T03:00:00+04:00,IWLPF00565BK/FXXXL AMZ,B07285D81F,B07285D81F,Izas Chaqueta Forro Polar Wheeler,New,8083,gl_sports,1,1,0,1,0,0,0,0,0,0,1,1,6,11,Infinite,4.0,13.0,4.3333333333333,4.7272727272727,1,0,EUR,16.99,16.99,16.99,0.00,16.99,0.00,0,0,,0.00,4088.008983,N,0,0,0,0,0.00
187,2020-09-05T03:00:00+04:00,IWJJA00554BMS AMZ,B07284LWH9,B07284LWH9,Izas Chaqueta de Punto Lucania,New,62370,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,0,Infinite,Infinite,Infinite,Infinite,Infinite,2,0,EUR,43.99,43.99,33.84,0.00,43.99,0.00,0,0,,0.00,6592.964506,N,0,0,0,0,0.00
188,2020-09-05T03:00:00+04:00,IWSTS01032FXS AMZ,B07282L311,B07282L311,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,4,4,0,4,0,0,0,0,0,0,0,0,0,0,Infinite,Infinite,Infinite,Infinite,Infinite,1,0,EUR,10.99,10.99,10.99,0.00,10.99,0.00,0,0,,0.00,376.00083,N,0,0,0,0,0.00
189,2020-09-05T03:00:00+04:00,IWSTS01032FXXS AMZ,B07282L2F4,B07282L2F4,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,3,3,0,3,0,0,0,0,0,0,0,0,0,0,Infinite,Infinite,Infinite,Infinite,Infinite,1,0,EUR,10.99,10.99,10.99,0.00,10.99,0.00,0,0,,0.00,345.000763,N,0,0,0,0,0.00
190,2020-09-05T03:00:00+04:00,IMYPD00916BM/ORL AMZ,B0725KJW2J,B0725KJW2J,Izas Chaqueta de Fibra Ultraligera Sindu,New,19543,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,6,Infinite,Infinite,Infinite,Infinite,17.3333333333333,2,0,EUR,65.99,65.99,48.98,0.00,55.99,0.00,0,0,,0.00,12657.089831,N,0,0,0,0,0.00
191,2020-09-05T03:00:00+04:00,IWSTS01032RDS AMZ,B0725GS27M,B0725GS27M,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,4,4,0,4,0,0,0,0,0,0,0,0,0,0,Infinite,Infinite,Infinite,Infinite,Infinite,2,0,EUR,10.99,10.99,8.95,0.00,10.99,0.00,0,0,,0.00,312.500686,N,0,0,0,0,0.00
192,2020-09-05T03:00:00+04:00,IWSTS01032FXXL AMZ,B0725GRZZN,B0725GRZZN,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,4,4,0,4,0,0,0,0,0,0,0,1,1,1,Infinite,Infinite,52.0,104.0,208.0,1,0,EUR,10.99,10.99,10.99,0.00,10.99,0.00,0,0,,0.00,850.001876,N,0,0,0,0,0.00
193,2020-09-05T03:00:00+04:00,IMLPF00348RD/BKXXL AMZ,B0722YW51H,B0722YW51H,Izas Chaqueta de Forro Polar Padru,New,10438,gl_sports,3,3,0,3,0,0,0,0,0,0,0,0,1,1,Infinite,Infinite,Infinite,78.0,156.0,2,0,EUR,16.99,16.99,16.99,0.00,18.99,0.00,0,0,,0.00,6176.561101,N,0,0,0,0,0.00
194,2020-09-05T03:00:00+04:00,IWSTS01032RDM AMZ,B0722W1M7Z,B0722W1M7Z,Camiseta de Manga Corta Adaia II,New,104195,gl_sports,3,3,0,3,0,0,0,0,0,0,1,1,1,1,Infinite,12.0,39.0,78.0,156.0,1,0,EUR,10.99,10.99,10.99,0.00,10.99,0.00,0,0,,0.00,350.750767,N,0,0,0,0,0.00
195,2020-09-05T03:00:00+04:00,IMYPD00916DQ/LMXL AMZ,B071Z3TJGL,B071Z3TJGL,Izas Chaqueta de Fibra Ultraligera Sindu,New,19543,gl_sports,2,2,0,2,0,0,0,0,0,0,0,0,0,3,Infinite,Infinite,Infinite,Infinite,34.6666666666667,1,0,EUR,65.99,65.99,65.99,0.00,64.99,0.00,0,0,,0.00,11275.024791,N,0,0,0,0,0.00
